,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
84,STT,State Street Corporation,21.87B,1.39%,360709,11.95B
85,ERIE,Erie Indemnity Company,21.75B,-2.01%,69733,3.27B
86,WRB,W. R. Berkley Corporation,21.65B,0.64%,153273,12.14B
87,KB,KB Financial Group Inc.,20.14B,-1.04%,207267,3.19B
88,CBOE,"Cboe Global Markets, Inc.",19.71B,-1.53%,157203,3.77B
89,HBAN,Huntington Bancshares Incorporated,19.65B,-0.30%,4761275,6.96B
90,MKL,Markel Corporation,19.62B,0.26%,6662,15.80B
91,LPLA,LPL Financial Holdings Inc.,19.57B,0.16%,53077,10.05B
92,PFG,"Principal Financial Group, Inc.",18.86B,0.98%,341299,13.67B
93,CINF,Cincinnati Financial Corporation,18.38B,0.08%,177653,10.01B
94,RF,Regions Financial Corporation,18.10B,-0.61%,1218535,7.02B
95,NMR,"Nomura Holdings, Inc.",18.00B,-4.00%,1217203,10.09B
96,SHG,"Shinhan Financial Group Co., Ltd.",17.94B,-0.17%,28711,7.06B
97,FDS,FactSet Research Systems Inc.,17.75B,2.30%,64070,2.12B
98,SYF,Synchrony Financial,17.34B,0.95%,1168752,7.66B
99,CG,The Carlyle Group Inc.,16.99B,-1.10%,625778,2.96B
100,NTRS,Northern Trust Corporation,16.69B,0.17%,270309,6.75B
101,L,Loews Corporation,16.63B,1.55%,140064,15.90B
102,TPG,TPG Inc.,16.54B,-2.80%,153031,2.39B
103,BAM,Brookfield Asset Management Inc.,16.46B,-0.40%,166743,4.05B
104,EG,"Everest Group, Ltd.",15.86B,3.26%,75372,14.59B
105,CFG,"Citizens Financial Group, Inc.",15.57B,-0.23%,1371698,7.54B
106,CRBG,"Corebridge Financial, Inc.",15.25B,0.73%,761660,18.88B
107,BEN,"Franklin Resources, Inc.",14.77B,1.25%,650437,7.87B
108,RYAN,"Ryan Specialty Holdings, Inc.",14.14B,-0.66%,115345,2.08B
109,BAP,Credicorp Ltd.,13.96B,-1.54%,85940,3.90B
110,KEY,KeyCorp,13.93B,-,3144319,5.89B
111,XP,XP Inc.,13.88B,0.36%,1660099,3.05B
112,FNF,"Fidelity National Financial, Inc.",13.76B,1.33%,289275,11.75B
113,MORN,"Morningstar, Inc.",13.12B,-0.90%,69909,2.04B
114,RNR,RenaissanceRe Holdings Ltd.,12.14B,2.06%,52400,9.13B
115,RGA,"Reinsurance Group of America, Incorporated",11.98B,0.62%,40498,18.57B
116,ARCC,Ares Capital Corporation,11.94B,0.15%,1783667,2.61B
117,KNSL,"Kinsale Capital Group, Inc.",11.89B,-3.75%,34144,1.22B
118,CNA,CNA Financial Corporation,11.83B,0.39%,28023,13.30B
119,BCH,Banco de Chile,11.62B,-0.04%,46018,3.21B
120,GL,Globe Life Inc.,11.58B,0.22%,267070,5.45B
121,ALLY,Ally Financial Inc.,11.40B,0.11%,1046315,8.21B
122,EQH,"Equitable Holdings, Inc.",11.08B,0.98%,551497,10.53B
123,UWMC,UWM Holdings Corporation,10.78B,2.25%,443321,1.31B
124,AFG,"American Financial Group, Inc.",10.77B,0.60%,53157,7.83B
125,EWBC,"East West Bancorp, Inc.",10.76B,-0.59%,468159,2.48B
126,AEG,Aegon N.V.,10.38B,-,788682,-11.08B
127,UNM,Unum Group,9.65B,-0.10%,256914,12.39B
128,AIZ,"Assurant, Inc.",9.28B,-0.09%,73228,11.13B
129,BSAC,Banco Santander-Chile,9.19B,1.14%,26561,2.19B
130,JEF,Jefferies Financial Group Inc.,9.18B,0.09%,188044,4.70B
131,SEIC,SEI Investments Company,9.07B,0.29%,122976,1.92B
132,HLI,"Houlihan Lokey, Inc.",8.62B,0.01%,35783,1.84B
133,PRI,"Primerica, Inc.",8.61B,-0.31%,16654,2.82B
134,WF,Woori Financial Group Inc.,8.39B,0.12%,6946,8.25B
135,WBS,Webster Financial Corporation,8.38B,0.25%,134799,2.50B
136,FHN,First Horizon Corporation,8.37B,-1.14%,1892652,3.21B
137,MKTX,MarketAxess Holdings Inc.,8.15B,3.75%,698912,752.55M
138,ORI,Old Republic International Corporation,8.05B,0.83%,336588,7.26B
139,CIB,Bancolombia S.A.,8.03B,-0.15%,207833,4.25B
140,FUTU,Futu Holdings Limited,7.99B,3.86%,1248547,1.27B
141,SF,Stifel Financial Corp.,7.73B,-1.28%,109292,4.35B
142,EVR,Evercore Inc.,7.59B,-1.42%,238254,2.43B
