,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
85,BBWI,"Bath & Body Works, Inc.",10.11B,1.32%,630665,7.41B
86,TXRH,"Texas Roadhouse, Inc.",9.91B,-0.22%,152365,4.63B
87,WING,Wingstop Inc.,9.80B,-5.58%,333449,460.06M
88,ALV,"Autoliv, Inc.",9.68B,1.97%,179565,10.48B
89,XPEV,XPeng Inc.,9.64B,5.57%,6174191,3.13B
90,CCK,"Crown Holdings, Inc.",9.42B,0.33%,139906,12.01B
91,TPX,"Tempur Sealy International, Inc.",9.40B,-1.57%,244762,4.93B
92,SKX,"Skechers U.S.A., Inc.",9.20B,0.35%,477752,8.00B
93,VIPS,Vipshop Holdings Limited,9.20B,-2.43%,1561447,15.92B
94,CZR,"Caesars Entertainment, Inc.",9.11B,1.19%,686864,11.53B
95,LNW,"Light & Wonder, Inc.",9.10B,-1.03%,106243,2.90B
96,BIRK,Birkenstock Holding plc,8.99B,0.53%,166881,1.69B
97,MUSA,Murphy USA Inc.,8.66B,-2.58%,50644,21.53B
98,ETSY,"Etsy, Inc.",8.66B,0.84%,742400,2.75B
99,NCLH,Norwegian Cruise Line Holdings Ltd.,8.51B,-0.95%,2802829,8.55B
100,MTN,"Vail Resorts, Inc.",8.50B,0.39%,229649,2.84B
101,GNTX,Gentex Corporation,8.41B,-0.80%,245636,2.30B
102,GPK,Graphic Packaging Holding Company,8.37B,0.07%,496831,9.43B
103,CHDN,Churchill Downs Incorporated,8.27B,0.64%,133615,2.46B
104,AS,"Amer Sports, Inc.",8.13B,-,461434,4.37B
105,GPS,"The Gap, Inc.",8.02B,3.44%,4869687,14.83B
106,PVH,PVH Corp.,8.01B,-2.81%,497819,9.22B
107,LEA,Lear Corporation,8.00B,0.61%,116310,23.47B
108,LAD,"Lithia Motors, Inc.",7.90B,-1.82%,84639,31.04B
109,SN,"SharkNinja, Inc.",7.80B,-0.21%,188467,4.25B
110,MHK,"Mohawk Industries, Inc.",7.75B,-1.08%,113191,11.14B
111,CHWY,"Chewy, Inc.",7.64B,3.11%,3386303,11.01B
112,CROX,"Crocs, Inc.",7.56B,1.33%,357812,3.96B
113,BWA,BorgWarner Inc.,7.36B,0.28%,1484129,14.20B
114,W,Wayfair Inc.,7.28B,-4.44%,1392851,12.00B
115,LEVI,Levi Strauss & Co.,7.25B,0.22%,299690,6.18B
116,HAS,"Hasbro, Inc.",7.18B,1.58%,309733,5.00B
117,CAVA,"CAVA Group, Inc.",7.16B,-0.88%,860397,728.70M
118,LCID,"Lucid Group, Inc.",7.13B,-3.55%,9634390,595.27M
