,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
84,CENTA,Central Garden & Pet Company,2.59B,-0.11%,63684,3.32B
85,CENT,Central Garden & Pet Company,2.59B,0.02%,15970,3.32B
86,GO,Grocery Outlet Holding Corp.,2.57B,1.74%,243042,3.97B
87,PSMT,"PriceSmart, Inc.",2.53B,0.43%,20136,4.52B
88,SPB,"Spectrum Brands Holdings, Inc.",2.52B,-0.12%,65122,2.90B
89,STRA,"Strategic Education, Inc.",2.52B,-0.50%,8727,1.13B
90,AKO.B,Embotelladora Andina S.A.,2.51B,2.65%,7711,3.12B
91,TBBB,BBB Foods Inc.,2.39B,1.38%,117362,1.94B
92,COUR,"Coursera, Inc.",2.34B,-1.58%,140016,635.76M
93,SOVO,"Sovos Brands, Inc.",2.34B,0.13%,1671147,1.02B
94,TR,"Tootsie Roll Industries, Inc.",2.25B,2.20%,22659,769.37M
95,DNUT,"Krispy Kreme, Inc.",2.18B,-0.46%,154046,1.69B
96,CCU,Compania Cervecerias Unidas S.A.,2.17B,1.11%,46258,3.19B
97,AKO.A,Embotelladora Andina S.A.,2.16B,-2.24%,142,3.12B
98,LAUR,"Laureate Education, Inc.",2.14B,-0.22%,92277,1.48B
99,THS,"TreeHouse Foods, Inc.",1.98B,1.72%,294255,3.43B
100,ATGE,Adtalem Global Education Inc.,1.96B,-,68425,1.50B
101,EPC,Edgewell Personal Care Company,1.89B,-1.82%,81741,2.27B
102,AFYA,Afya Limited,1.86B,-1.35%,14741,547.10M
103,ANDE,"The Andersons, Inc.",1.86B,-1.15%,36782,14.75B
104,MGPI,"MGP Ingredients, Inc.",1.82B,3.11%,39587,836.52M
105,WMK,"Weis Markets, Inc.",1.76B,-1.21%,12663,4.70B
106,GOTU,Gaotu Techedu Inc.,1.76B,-4.90%,1464480,417.60M
107,VGR,Vector Group Ltd.,1.76B,-0.18%,149719,1.42B
108,UDMY,"Udemy, Inc.",1.74B,0.64%,166696,728.94M
109,CHEF,"The Chefs' Warehouse, Inc.",1.48B,-2.01%,65954,3.43B
110,UTZ,"Utz Brands, Inc.",1.48B,0.22%,207911,1.44B
111,IMKTA,"Ingles Markets, Incorporated",1.44B,-0.66%,61042,5.88B
112,COCO,"The Vita Coco Company, Inc.",1.43B,-0.72%,85421,493.61M
113,UVV,Universal Corporation,1.24B,-0.79%,69315,2.67B
114,JBSS,"Sanfilippo (John B.) & Son, Inc",1.19B,0.08%,13552,998.08M
115,FDP,Fresh Del Monte Produce Inc.,1.18B,-1.01%,111517,4.32B
116,KLG,WK Kellogg Co,1.17B,0.41%,207866,2.76B
117,PRDO,Perdoceo Education Corporation,1.16B,0.57%,194869,710.00M
118,DOLE,Dole plc,1.11B,1.20%,80836,8.25B
119,AGRO,Adecoagro S.A.,1.08B,0.69%,57714,1.41B
120,BRCC,BRC Inc.,1.08B,-3.05%,659376,369.59M
121,NAPA,"The Duckhorn Portfolio, Inc.",1.05B,5.79%,828646,396.89M
122,USNA,"USANA Health Sciences, Inc.",934.70M,0.86%,17407,921.01M
123,HLF,Herbalife Nutrition Ltd.,913.21M,4.46%,478668,5.06B
124,VITL,"Vital Farms, Inc.",885.65M,2.34%,150630,471.86M
125,EWCZ,"European Wax Center, Inc.",881.79M,0.34%,52821,221.02M
126,BGS,"B&G Foods, Inc.",879.80M,2.06%,279551,2.06B
127,CHGG,"Chegg, Inc.",842.12M,0.24%,393839,716.30M
128,HAIN,"The Hain Celestial Group, Inc.",841.73M,0.96%,208449,1.78B
129,WEST,"Westrock Coffee Company, LLC",829.33M,-3.93%,37670,877.47M
130,STKL,SunOpta Inc.,787.92M,-0.15%,158840,630.30M
131,UTI,"Universal Technical Institute, Inc.",780.19M,2.07%,108246,662.10M
132,AVO,"Mission Produce, Inc.",758.77M,-2.82%,58560,999.10M
133,SPTN,SpartanNash Company,709.03M,-1.17%,38956,9.73B
134,UNFI,"United Natural Foods, Inc.",698.98M,1.36%,318034,30.25B
135,NUS,"Nu Skin Enterprises, Inc.",629.62M,3.06%,253519,1.97B
136,OTLY,Oatly Group AB,611.00M,1.98%,254513,783.35M
137,BYND,"Beyond Meat, Inc.",527.12M,-3.07%,1429170,343.38M
138,CVGW,"Calavo Growers, Inc.",521.50M,-2.05%,53620,873.35M
139,ISPR,Ispire Technology Inc.,521.35M,-1.54%,12177,141.32M
140,VTRU,Vitru Limited,504.52M,-1.66%,2141,377.63M
141,DAO,"Youdao, Inc.",490.65M,1.77%,110775,760.11M
142,LND,BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,480.50M,0.63%,21241,277.76M
143,SKIN,The Beauty Health Company,477.81M,1.11%,761796,399.30M
144,TPB,"Turning Point Brands, Inc.",476.65M,-0.51%,41858,405.39M
145,VLGEA,"Village Super Market, Inc.",395.45M,2.65%,12199,2.20B
146,NGVC,"Natural Grocers by Vitamin Cottage, Inc.",388.16M,3.40%,29548,1.16B
147,SENEA,Seneca Foods Corporation,361.65M,0.75%,6520,1.48B
148,SENEB,Seneca Foods Corporation,361.08M,-,16,1.48B
