,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
82,CTRE,"CareTrust REIT, Inc.",3.04B,0.64%,252680,217.77M
83,DBRG,"DigitalBridge Group, Inc.",3.01B,-0.76%,240167,821.38M
84,SITC,SITE Centers Corp.,2.97B,-0.42%,172074,546.28M
85,HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",2.95B,0.35%,157441,319.87M
86,BNL,"Broadstone Net Lease, Inc.",2.83B,-0.14%,267576,442.89M
87,CDP,COPT Defense Properties,2.83B,-0.61%,540810,684.98M
88,DEI,"Douglas Emmett, Inc.",2.75B,-0.58%,256620,1.02B
89,IIPR,"Innovative Industrial Properties, Inc.",2.74B,1.04%,30231,309.51M
90,ESRT,"Empire State Realty Trust, Inc.",2.73B,0.93%,134489,739.57M
91,LXP,LXP Industrial Trust,2.70B,0.66%,393179,340.50M
92,HIW,"Highwoods Properties, Inc.",2.66B,-0.52%,140683,834.00M
93,OUT,Outfront Media Inc.,2.66B,0.44%,2122109,1.82B
94,NMRK,"Newmark Group, Inc.",2.61B,-1.57%,336090,2.47B
95,VTMX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",2.60B,-0.86%,59688,214.50M
96,ESBA,"Empire State Realty OP, L.P.",2.60B,1.59%,201,739.57M
97,NHI,"National Health Investors, Inc.",2.56B,0.60%,16646,319.84M
98,MPW,"Medical Properties Trust, Inc.",2.51B,0.24%,7595834,871.80M
99,ABR,"Arbor Realty Trust, Inc.",2.46B,0.47%,1024775,721.01M
100,SHO,"Sunstone Hotel Investors, Inc.",2.32B,-0.97%,235696,986.48M
101,CWK,Cushman & Wakefield plc,2.25B,-0.81%,176243,9.49B
102,FCPT,"Four Corners Property Trust, Inc.",2.25B,0.41%,46997,250.61M
103,UE,Urban Edge Properties,2.15B,0.12%,87107,416.92M
104,DRH,DiamondRock Hospitality Company,2.03B,-0.83%,168690,1.07B
105,EQC,Equity Commonwealth,2.02B,-0.16%,144607,60.52M
106,EXPI,"eXp World Holdings, Inc.",2.00B,-0.85%,180054,4.28B
107,OPEN,Opendoor Technologies Inc.,1.99B,-4.90%,7596170,6.95B
108,PEB,Pebblebrook Hotel Trust,1.95B,-0.25%,272564,1.42B
109,FOR,Forestar Group Inc.,1.87B,-1.93%,67808,1.53B
110,AKR,Acadia Realty Trust,1.85B,0.12%,110330,338.69M
111,GNL,"Global Net Lease, Inc.",1.78B,2.97%,462080,515.07M
112,IVT,InvenTrust Properties Corp.,1.70B,0.40%,33764,258.68M
113,CXW,"CoreCivic, Inc.",1.67B,-,65424,1.90B
114,ROIC,Retail Opportunity Investments Corp.,1.65B,0.46%,154055,327.73M
115,AAT,"American Assets Trust, Inc.",1.62B,0.76%,19646,441.16M
116,XHR,"Xenia Hotels & Resorts, Inc.",1.62B,-1.23%,120284,1.03B
117,JBGS,JBG SMITH Properties,1.60B,-0.32%,354699,604.20M
118,NXRT,"NexPoint Residential Trust, Inc.",1.59B,-0.77%,61298,277.53M
119,ARI,"Apollo Commercial Real Estate Finance, Inc.",1.57B,0.18%,115742,344.59M
120,UNIT,Uniti Group Inc.,1.55B,-0.91%,321722,1.15B
121,VRE,"Veris Residential, Inc.",1.54B,-0.73%,119433,279.86M
122,RC,Ready Capital Corporation,1.52B,0.23%,368682,630.58M
123,SAFE,Safehold Inc.,1.48B,-1.65%,36683,352.58M
124,GTY,Getty Realty Corp.,1.47B,0.55%,28328,186.42M
125,LTC,"LTC Properties, Inc.",1.39B,-0.15%,28589,197.24M
126,LADR,Ladder Capital Corp,1.39B,0.27%,62802,264.21M
127,CMTG,"Claros Mortgage Trust, Inc.",1.37B,-1.31%,18631,306.55M
128,MMI,"Marcus & Millichap, Inc.",1.33B,-0.73%,67314,645.93M
129,TWO,Two Harbors Investment Corp.,1.32B,0.62%,161942,31.79M
130,BFS,"Saul Centers, Inc.",1.30B,0.57%,28185,257.21M
131,NTST,NETSTREIT Corp.,1.28B,0.69%,229235,131.91M
132,PMT,PennyMac Mortgage Investment Trust,1.24B,-,104882,429.02M
133,DEA,"Easterly Government Properties, Inc.",1.21B,-0.34%,188368,287.23M
134,ALEX,"Alexander & Baldwin, Inc.",1.21B,-0.60%,34818,208.90M
135,ELME,Elme Communities,1.19B,-0.15%,63683,227.91M
136,KW,"Kennedy-Wilson Holdings, Inc.",1.16B,-2.12%,825030,562.60M
137,AHR,"American Healthcare REIT, Inc.",1.16B,0.29%,63667,1.84B
138,MFA,"MFA Financial, Inc.",1.14B,0.36%,362655,248.45M
139,PGRE,"Paramount Group, Inc.",1.13B,1.08%,160241,742.79M
140,UMH,"UMH Properties, Inc.",1.13B,-0.37%,268254,220.93M
141,AIV,Apartment Investment and Management Company,1.12B,-0.26%,122265,187.00M
142,ALX,"Alexander's, Inc.",1.10B,0.55%,6158,224.96M
143,SVC,Service Properties Trust,1.09B,-2.58%,148939,1.87B
144,CIM,Chimera Investment Corporation,1.09B,1.12%,414101,252.64M
145,FBRT,"Franklin BSP Realty Trust, Inc.",1.06B,0.23%,83042,263.95M
146,PLYM,"Plymouth Industrial REIT, Inc.",997.26M,-0.50%,18136,199.85M
147,EFC,Ellington Financial Inc.,976.57M,0.53%,256665,276.92M
148,HPP,"Hudson Pacific Properties, Inc.",965.83M,-0.22%,579227,952.30M
149,ARR,"ARMOUR Residential REIT, Inc.",950.60M,0.98%,330777,-86.22M
150,AHH,"Armada Hoffler Properties, Inc.",938.14M,0.85%,93920,667.16M
151,CSR,Centerspace,902.97M,-0.58%,20465,261.31M
152,BRSP,"BrightSpire Capital, Inc.",877.40M,0.89%,219605,232.72M
153,RDFN,Redfin Corporation,853.77M,1.27%,2109750,976.67M
154,RWT,"Redwood Trust, Inc.",814.46M,-0.32%,264455,165.63M
155,PDM,"Piedmont Office Realty Trust, Inc.",791.09M,0.47%,83539,577.76M
156,BDN,Brandywine Realty Trust,775.68M,-0.45%,278153,514.65M
157,CBL,"CBL & Associates Properties, Inc.",750.36M,-1.03%,15169,535.29M
158,CHCT,Community Healthcare Trust Incorporated,745.04M,0.22%,18523,112.85M
159,DX,"Dynex Capital, Inc.",731.80M,0.72%,540214,26.75M
160,INN,"Summit Hotel Properties, Inc.",705.81M,-1.60%,187654,736.13M
161,KREF,KKR Real Estate Finance Trust Inc.,705.27M,1.40%,131776,202.81M
162,DHC,Diversified Healthcare Trust,672.69M,-2.87%,219663,1.41B
163,HOUS,Anywhere Real Estate Inc.,658.51M,-0.17%,163653,5.64B
164,NYMT,"New York Mortgage Trust, Inc.",657.80M,0.83%,110466,198.87M
165,GMRE,Global Medical REIT Inc.,627.41M,2.36%,141144,141.05M
166,REAX,The Real Brokerage Inc.,616.30M,-2.65%,745739,689.16M
167,WSR,Whitestone REIT,612.20M,-0.58%,40018,144.36M
168,TRTX,"TPG RE Finance Trust, Inc.",585.57M,0.66%,68779,116.39M
169,FRPH,"FRP Holdings, Inc.",578.82M,-1.12%,261,41.25M
170,PGRU,PropertyGuru Limited,542.50M,2.40%,35111,113.74M
171,FPI,Farmland Partners Inc.,542.25M,-0.45%,162936,57.47M
172,GOOD,Gladstone Commercial Corporation,541.03M,0.15%,82362,147.58M
173,UHT,Universal Health Realty Income Trust,537.20M,0.05%,29505,95.58M
174,SRG,Seritage Growth Properties,527.30M,-0.74%,313031,34.56M
175,CLDT,Chatham Lodging Trust,515.52M,-0.42%,34786,311.11M
176,LAND,Gladstone Land Corporation,478.65M,-,39460,90.40M
177,LSEA,Landsea Homes Corporation,474.77M,-1.49%,98573,1.21B
178,OLP,"One Liberty Properties, Inc.",474.38M,0.09%,45525,90.65M
179,FPH,"Five Point Holdings, LLC",450.87M,-,16877,211.73M
180,IVR,Invesco Mortgage Capital Inc.,442.93M,0.98%,285149,3.87M
181,ORC,"Orchid Island Capital, Inc.",442.23M,0.58%,178684,-20.70M
182,STRW,Strawberry Fields REIT LLC,411.81M,-,213,97.90M
183,ACRE,Ares Commercial Real Estate Corporation,410.89M,1.32%,157383,92.93M
184,RMR,The RMR Group Inc.,391.82M,1.38%,23279,973.25M
185,MLP,"Maui Land & Pineapple Company, Inc.",391.11M,3.36%,610,9.05M
186,PSTL,"Postal Realty Trust, Inc.",391.02M,0.71%,20414,63.71M
187,CTO,"CTO Realty Growth, Inc.",389.11M,0.18%,44429,109.12M
188,TCI,"Transcontinental Realty Investors, Inc.",337.80M,1.26%,349,49.24M
189,NLOP,Net Lease Office Properties,332.04M,5.37%,39902,174.97M
190,NREF,"NexPoint Real Estate Finance, Inc.",327.81M,1.17%,8518,28.68M
191,ARL,"American Realty Investors, Inc.",320.46M,-0.15%,1857,49.76M
192,BRT,BRT Apartments Corp.,299.77M,-0.12%,2298,92.82M
193,REFI,"Chicago Atlantic Real Estate Finance, Inc.",294.19M,1.24%,39980,57.07M
194,ILPT,Industrial Logistics Properties Trust,266.00M,-0.25%,30195,437.34M
195,AOMR,"Angel Oak Mortgage, Inc.",258.39M,0.10%,6461,17.01M
196,FLJ,FLJ Group Limited,257.96M,-0.57%,24187,-
197,RMAX,"RE/MAX Holdings, Inc.",257.79M,1.32%,34106,325.67M
198,AFCG,"AFC Gamma, Inc.",251.83M,2.74%,80257,64.18M
199,NEN,New England Realty Associates LP,251.34M,-,186,72.46M
200,GPMT,Granite Point Mortgage Trust Inc.,243.81M,0.42%,236689,-19.81M
201,FSP,Franklin Street Properties Corp.,236.85M,-1.31%,115608,145.71M
202,PINE,"Alpine Income Property Trust, Inc.",234.50M,1.39%,3810,45.64M
203,OZ,"Belpointe PREP, LLC",226.40M,-2.46%,201,2.16M
204,CLPR,Clipper Realty Inc.,213.60M,-0.40%,18349,136.35M
205,ONL,Orion Office REIT Inc.,198.03M,-1.41%,103353,195.04M
206,OPAD,Offerpad Solutions Inc.,197.54M,10.91%,28010,1.31B
207,SEVN,Seven Hills Realty Trust,186.17M,-2.07%,3862,34.51M
208,SDHC,Smith Douglas Homes Corp.,184.08M,0.16%,8553,755.35M
209,CIO,"City Office REIT, Inc.",181.10M,-0.22%,41820,179.10M
210,STRS,Stratus Properties Inc.,179.67M,-1.92%,3022,26.30M
211,MITT,"AG Mortgage Investment Trust, Inc.",178.68M,-0.66%,65617,68.44M
212,SACH,Sachem Capital Corp.,178.25M,2.88%,71165,64.59M
213,BHR,Braemar Hotels & Resorts Inc.,173.95M,-0.49%,36326,733.43M
214,DOUG,Douglas Elliman Inc.,172.09M,2.13%,98695,955.58M
215,STHO,Star Holdings,158.50M,-1.85%,36295,123.05M
216,MDV,Modiv Inc.,135.02M,-1.15%,6383,46.94M
217,AXR,AMREP Corporation,121.24M,0.67%,1969,44.53M
218,LFT,"Lument Finance Trust, Inc.",119.61M,0.44%,46947,28.01M
219,EARN,Ellington Residential Mortgage REIT,116.64M,1.13%,90123,-634.00K
220,OPI,Office Properties Income Trust,110.19M,-7.52%,510440,533.55M
221,AJX,Great Ajax Corp.,108.61M,-0.50%,49965,-17.07M
222,CHMI,Cherry Hill Mortgage Investment Corporation,103.43M,3.35%,88566,-21.20M
223,MAYS,"J.W. Mays, Inc.",88.69M,-,3,22.13M
224,ACR,ACRES Commercial Realty Corp.,86.47M,0.09%,9050,91.13M
225,CMCT,Creative Media & Community Trust Corporation,83.77M,-0.28%,197,115.66M
226,AIRE,reAlpha Tech Corp.,75.65M,5.92%,1138933,439.12K
227,ASPS,Altisource Portfolio Solutions S.A.,74.66M,-5.69%,11107,145.07M
228,DOMA,Doma Holdings Inc.,74.04M,-3.45%,2493,335.84M
229,LRE,"Lead Real Estate Co., Ltd",72.98M,-2.25%,28606,118.70M
230,AHT,"Ashford Hospitality Trust, Inc.",60.19M,-2.65%,141966,1.37B
231,SOHO,Sotherly Hotels Inc.,56.96M,-2.44%,8398,173.03M
232,FTHM,Fathom Holdings Inc.,56.10M,0.37%,6539,354.59M
233,LOAN,"Manhattan Bridge Capital, Inc.",53.47M,2.25%,8352,9.80M
234,SELF,"Global Self Storage, Inc.",47.14M,-0.70%,5722,12.27M
235,WETH,Wetouch Technology Inc.,45.67M,-6.62%,160383,39.88M
236,CHCI,"Comstock Holding Companies, Inc.",45.46M,-2.73%,3158,43.01M
237,LODE,Comstock Inc.,43.90M,0.53%,203188,1.27M
238,RFL,"Rafael Holdings, Inc.",42.40M,-2.89%,3972,277.00K
239,LRHC,La Rosa Holding Corp.,25.18M,-1.13%,14101,26.32M
240,OMH,Ohmyhome Limited,23.23M,12.50%,164240,4.37M
241,GIPR,"Generation Income Properties, Inc.",19.67M,1.93%,29275,5.91M
242,LEJU,Leju Holdings Limited,18.19M,-2.96%,24512,332.27M
243,MDJH,MDJM Ltd,16.93M,-7.59%,318,29.45K
244,NYC,American Strategic Investment Co,16.23M,-,1036,63.53M
245,XIN,"Xinyuan Real Estate Co., Ltd.",16.22M,1.11%,1632,754.13M
246,WHLR,"Wheeler Real Estate Investment Trust, Inc.",14.94M,5.55%,205564,102.33M
247,IHT,InnSuites Hospitality Trust,14.69M,-3.15%,975,7.39M
248,SQFT,"Presidio Property Trust, Inc.",14.60M,-1.94%,10707,17.63M
249,SGD,Safe and Green Development Corporation,13.62M,-6.45%,15302990,-
250,AEI,Alset EHome International Inc.,13.00M,5.19%,3275,21.95M
251,GYRO,"Gyrodyne, LLC",12.99M,1.33%,33537,-
252,MDRR,"Medalist Diversified REIT, Inc.",12.30M,2.44%,23435,10.27M
253,TPHS,Trinity Place Holdings Inc.,9.56M,-8.56%,39058,42.33M
254,GBR,"New Concept Energy, Inc.",5.35M,-0.33%,14842,172.00K
255,GGE,Green Giant Inc.,5.18M,7.23%,2992372,1.80M
256,ALBT,Avalon GloboCare Corp.,4.23M,-2.13%,58497,1.23M
257,VINO,"Gaucho Group Holdings, Inc.",4.03M,-1.46%,4719,1.99M
258,DUO,Fangdd Network Group Ltd.,2.30M,10.41%,66409905,35.17M
259,PW,Power REIT,2.10M,-0.15%,5809,4.00M
260,UK,Ucommune International Ltd,2.10M,16.40%,300035,87.50M
