,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
85,OPAL,OPAL Fuels Inc.,827.40M,-,11058,235.82M
86,EDN,Empresa Distribuidora y Comercializadora Norte SA,815.05M,-2.66%,2707,1.17B
87,ARIS,"Aris Water Solutions, Inc.",692.96M,7.34%,131361,392.12M
88,MNTK,"Montauk Renewables, Inc.",683.83M,-5.16%,224606,177.74M
89,GNE,Genie Energy Ltd.,519.02M,-9.40%,177099,405.18M
90,YORW,The York Water Company,508.43M,1.44%,12476,71.03M
91,CWCO,Consolidated Water Co. Ltd.,464.87M,-1.86%,37006,155.39M
92,SMR,NuScale Power Corporation,421.50M,-0.18%,5305002,21.69M
93,ARTNA,Artesian Resources Corporation,371.60M,1.54%,6457,99.43M
94,GWRS,"Global Water Resources, Inc.",314.76M,-6.26%,8298,53.03M
95,NRGV,"Energy Vault Holdings, Inc.",285.66M,-1.51%,678389,323.63M
96,PCYO,Pure Cycle Corporation,240.81M,-,4912,18.63M
97,ELLO,Ellomay Capital Ltd.,217.85M,-4.63%,3568,52.91M
98,RGCO,"RGC Resources, Inc.",213.43M,-0.15%,3164,88.58M
99,CDZI,Cadiz Inc.,191.46M,-7.32%,21638,1.88M
100,VIA,"Via Renewables, Inc.",78.66M,-0.09%,6681,435.19M
101,VGAS,"Verde Clean Fuels, Inc.",41.87M,-5.42%,10945,-
102,ALCE,Alternus Energy Group Plc,30.20M,3.10%,557738,44.51M
103,HTOO,Fusion Fuel Green PLC,27.71M,-6.86%,139074,-
104,ADN,"Advent Technologies Holdings, Inc.",15.96M,0.18%,690645,5.31M
105,CREG,Smart Powerr Corp.,11.55M,-0.69%,5936,-
106,WAVE,Eco Wave Power Global AB (publ),7.55M,0.74%,8452,27.00K
107,BNRG,Brenmiller Energy Ltd,7.22M,-12.54%,7737,580.00K
