,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
86,LECO,"Lincoln Electric Holdings, Inc.",14.46B,-0.65%,44897,4.19B
87,XPO,"XPO Logistics, Inc.",14.22B,-0.38%,365486,7.74B
88,UAL,"United Airlines Holdings, Inc.",14.20B,-0.95%,2533993,53.72B
89,SWK,"Stanley Black & Decker, Inc.",14.07B,0.52%,223869,15.78B
90,RBA,RB Global Inc,13.87B,-0.13%,138232,3.68B
91,OC,Owens Corning,13.66B,-0.64%,173191,9.68B
92,PNR,Pentair plc,13.43B,0.04%,212620,4.10B
93,GFL,GFL Environmental Inc.,12.89B,0.35%,252346,5.65B
94,BLD,TopBuild Corp.,12.70B,-1.85%,98496,5.19B
95,TFII,TFI International Inc.,12.63B,-0.21%,65416,7.52B
96,AOS,A. O. Smith Corporation,12.62B,-0.59%,130245,3.85B
97,UHAL.B,U-Haul Holding Company,12.61B,-0.53%,139956,5.72B
98,UHAL,U-Haul Holding Company,12.61B,-0.33%,15472,5.72B
99,WMS,"Advanced Drainage Systems, Inc.",12.45B,-0.78%,104438,2.84B
100,ACM,AECOM,12.25B,-0.41%,121235,14.90B
101,HII,"Huntington Ingalls Industries, Inc.",11.61B,-1.63%,38062,11.45B
102,RRX,Regal Rexnord Corporation,11.50B,-0.87%,91556,6.25B
103,ALLE,Allegion plc,11.46B,0.15%,134748,3.65B
104,NVT,nVent Electric plc,11.32B,-0.39%,525099,3.26B
105,FIX,"Comfort Systems USA, Inc.",11.06B,-4.27%,192821,5.21B
106,ITT,ITT Inc.,10.43B,-0.46%,25953,3.28B
107,TREX,"Trex Company, Inc.",10.31B,-1.06%,127527,1.09B
108,FBIN,"Fortune Brands Innovations, Inc.",10.28B,-0.15%,192747,4.63B
109,CLH,"Clean Harbors, Inc.",10.15B,-0.80%,56424,5.41B
110,TTEK,"Tetra Tech, Inc.",9.97B,-1.72%,52729,4.86B
111,CNM,"Core & Main, Inc.",9.79B,-2.84%,941721,6.64B
112,STN,Stantec Inc.,9.73B,-1.60%,32760,3.81B
113,AAL,American Airlines Group Inc.,9.61B,-0.20%,8578663,52.79B
114,ESLT,Elbit Systems Ltd.,9.56B,-3.98%,39555,5.86B
115,APG,APi Group Corporation,9.49B,-0.87%,554940,6.93B
116,TTC,The Toro Company,9.32B,-0.61%,137235,4.41B
117,BWXT,"BWX Technologies, Inc.",9.31B,-1.29%,111749,2.50B
118,CW,Curtiss-Wright Corporation,9.24B,-1.79%,26981,2.85B
119,KNX,Knight-Swift Transportation Holdings Inc.,9.11B,0.43%,297128,7.14B
120,WWD,"Woodward, Inc.",8.89B,0.50%,73629,3.08B
121,WSC,WillScot Mobile Mini Holdings Corp.,8.86B,-1.22%,271807,2.36B
122,ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",8.84B,-0.13%,6554,1.30B
