,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
87,NXE,NexGen Energy Ltd.,3.97B,0.27%,2023777,-
88,HP,"Helmerich & Payne, Inc.",3.82B,1.43%,231433,2.83B
89,NOG,"Northern Oil and Gas, Inc.",3.67B,1.13%,206918,2.17B
90,EURN,Euronav NV,3.60B,-0.06%,166692,1.63B
91,CRC,California Resources Corporation,3.59B,7.47%,800855,2.80B
92,VIST,"Vista Energy, SAB de CV",3.58B,0.30%,152944,1.17B
93,STNG,Scorpio Tankers Inc.,3.58B,-0.07%,110619,1.34B
94,ERF,Enerplus Corporation,3.58B,0.22%,993474,1.69B
95,LBRT,Liberty Energy Inc.,3.58B,-0.79%,683174,4.75B
96,BTU,Peabody Energy Corporation,3.49B,-3.94%,1153533,4.95B
97,SDRL,Seadrill Limited,3.35B,0.47%,200767,1.50B
98,CVI,"CVR Energy, Inc.",3.30B,-0.60%,151627,9.25B
99,BSM,"Black Stone Minerals, L.P.",3.28B,0.06%,87205,592.22M
100,CNX,CNX Resources Corporation,3.25B,-0.28%,3844374,3.43B
101,ARCH,"Arch Resources, Inc.",3.19B,-4.39%,231948,3.15B
102,TRMD,TORM plc,3.05B,0.71%,269607,1.52B
103,WHD,"Cactus, Inc.",3.04B,0.15%,514985,1.10B
104,NS,NuStar Energy L.P.,3.02B,0.59%,19715,1.63B
105,AROC,"Archrock, Inc.",2.82B,0.44%,164695,990.34M
106,USAC,"USA Compression Partners, LP",2.76B,2.20%,381995,846.18M
107,CEIX,CONSOL Energy Inc.,2.73B,-7.40%,176873,2.57B
108,GPOR,Gulfport Energy Corporation,2.64B,-2.19%,217611,1.05B
109,BTE,Baytex Energy Corp.,2.62B,-0.31%,3460333,2.04B
110,KOS,Kosmos Energy Ltd.,2.60B,0.36%,1756551,1.70B
111,INSW,"International Seaways, Inc.",2.55B,-2.64%,161693,1.07B
112,ARLP,"Alliance Resource Partners, L.P.",2.55B,0.13%,120096,2.57B
113,UEC,Uranium Energy Corp.,2.50B,2.20%,2739842,59.39M
114,CRK,"Comstock Resources, Inc.",2.36B,-0.94%,734088,1.57B
115,TALO,Talos Energy Inc.,2.33B,-0.16%,293018,1.46B
116,TGS,Transportadora de Gas del Sur S.A.,2.24B,-0.33%,41323,932.68M
117,GLNG,Golar LNG Limited,2.21B,1.86%,207725,267.74M
118,CPE,Callon Petroleum Company,2.16B,1.19%,155287,2.34B
119,PARR,"Par Pacific Holdings, Inc.",2.14B,-0.22%,99384,8.23B
120,AESI,Atlas Energy Solutions Inc.,2.10B,3.97%,696298,613.96M
121,OII,"Oceaneering International, Inc.",2.07B,-0.24%,135380,2.42B
122,KNTK,Kinetik Holdings Inc.,2.04B,0.59%,100972,1.26B
123,XPRO,Expro Group Holdings N.V.,2.01B,-0.85%,75880,1.51B
